app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Square POS,Play Store,anthony penwell,3,"December 29, 2025",,"ok although the fees are very high if I receive a payment transaction of $2,000 they always take $66 out to me that is extremely high as other apps like Square POS apps do not charge near that square is definitely the highest in fees so it would be nice to see them lower their fees because $60 just to process a transaction is insane other than that the app works fine sometimes it takes a while for them to process the transaction",,,10,,
Square POS,Play Store,Brian Gill,4,"January 31, 2026",,Easy to do. I like being able to withhold a percentage of my income for taxes automatically. One downside is that sometimes I need to enter a card manually and I get penalized for that.,,,5,,
Square POS,Play Store,Laura Griffith,1,"January 12, 2026",,"they kicked me off with no notice, losing ALL my appt.s & futures appt.s & described services. All I could do was chat with one bot after another who all said the same stuff: ""did you update?"" did you turn your phone off & back on?"" Did you close the app & get back on."" etc. a WHOLE day, & had to go to a backup acct. Never got it fixed. Thank God for my backup.",,,4,,
Square POS,Play Store,Evgenii Iakimov,1,"February 19, 2026",,"They closed my account for no reason after almost a year of operation, with a turnover of $800,000 and two outstanding loans. They're not refunding my account balance! Avoid these scammers! My lawyer is already working on this case.",,,,,
Square POS,Play Store,Christopher Bridges,1,"January 27, 2026",,"I am warning you, DO NOT USE THIS APP! They closed my account after I had a few customers pay me through tap to pay. They gave no explanation for closing my account and then told me that I should receive my money 2 days after they hold it for 180 days. I called customer service and was told the explanation for closing account was in email, it wasn't. Asked to speak to supervisor and was told no, I said, so you guys are stealing my money and don't care and Will, the c.s.r. said yeah and laughed.",,,4,,
Square POS,Play Store,Kevin Brinkley,3,"January 3, 2026",,I really like this app and I find it great and it would be five stars all day if y'all could fix this one bug issue where every time my app updates or an invoice is paid or if I move money or something the screen blacks out or lights out where I can't read any of the info and it's always around the 3rd or 4th update or opening or closing the app that it does it consistently making me have to close the app and restart it and wait for it to load back up and as long as I've had this app over a coup,,,,,
Square POS,Play Store,Roselia Leon,4,"December 15, 2025",,near perfect i wish the part where you look at sales for the day was better at looking at fakes in the past. i wish it didn't automatically include sales from today when i want look in the past specifically. and i wish you can select the year easier to you gotta across each month one my one. annoying 😑,,,3,,
Square POS,Play Store,Brenda Cunningham,3,"February 14, 2026",,Always been a great and helpful tool. Only processed 1 sale in a 1 hour window yesterday. Guess my students are without their fundraising monies.,,,,,
Square POS,Play Store,Josh Bogenreif,2,"January 15, 2026",,dear square i.t. department. you keep updating the software but there are subtle changes that slow service down and make it unceasingly more tedious for FOH stave. for example the most 2 recent updates changed the seach bar to a magnifying glass on the top right of where the tabs are and it is not user friendly to exit out of. SLOWING SERVICE DOWN.. another one most recent : the saved ticket feature: the ability to click save ticket and slide CC is now gone and you have to click new customer.,,,3,,
Square POS,Play Store,Mk Dlamini,1,"January 16, 2026",,"After signing up online, I tried logging in on the app and it returns an error message ""logged in too many times, account locked try again later"" and that was only inputting the password once.",,,3,,
Square POS,Play Store,Daniel Gonzales,1,"January 7, 2026",,this app is horrible as soon as you start making money they find every reason to hold it and not release it to you they want to verify documents over and over again with the same question same information as the previous time I do not recommend getting this app it is not what they appear to be they make everything extremely difficult for you to transfer money in and out of accounts.,,,7,,
Square POS,Play Store,Ata Care,1,"December 31, 2025",,Please read the response from them to this review. Be ready for them to deactivate your account and when you get in touch with their none existent customers care they'll tell you they decided to cancel your account no other details at all after that you will receive customer care feedback. Update to to this idiotic response I'm not frustrated I'm stunned of your response one day everything is working fine and next day square decided to deactivate your account without any reason or explanation.,,,3,,
Square POS,Play Store,Evie Hillhouse,1,"November 25, 2025",,"After just my first time using the square app and card reader, my account was deactivated and all of my funds are unavailable to me for almost 4 months. I wasn't given a chance to appeal and after calling the company they can't even tell me why this was happening. The only ""solution"" they gave me was to refund payments to the original sender, which doesn't help me at all. I highly encourage everyone to search for a different option for their business.",,,20,,
Square POS,Play Store,Brenna Hauversburk,3,"December 10, 2025",,I've been using square for my business for YEARS! I open it up to start the day and the new update says it's no longer compatible with my device! Beyond pissed! While I do LOVE square this really sucks! 1 star on the issue for this morning but 5 stars for the time I've had it.,"We appreciate you reaching out on this, and we are sorry for any inconvenience this may have caused.

If you would like, please feel free to reach out to us over any of our support channels and we would be interested to see if there is anything we can help you with. We are here to help.",,,,
Square POS,Play Store,Carlos Ayala,2,"January 1, 2026",,"Within the years, this app is just getting worse, and 6% fee p transaction is quite a lot if you are small business. There are more convenient options out there.",,,2,,
Square POS,Play Store,Dan Pugsley,1,"January 28, 2026",,"these checks are worthless. I have 2 checks & I can't deposit them into my bank of america account by mobile deposit, or the atm. PayPal has also declined my checks. I created a square account, they also declined both checks. It's unbelievable. I have to contact the issuer and hope they can write me a personal check because square checks are not able to be deposited into any account ive tried several different ways. I have ran out of options. has anyone ever had success with these checks?",,,2,,
Square POS,Play Store,Ryan,1,"January 27, 2026",,DO NOT DOWNLOAD!!!! THEY TAKE YOUR MONEY BUT DO NOT DEPOSIT IT. They've had my money for a week already and keep changing the transfer date. isn't it convenient you can't talk to any costumer service 🤔.,,,3,,
Square POS,Play Store,Doug Dunn,3,"January 21, 2026",,"The fees are steep but there are benefits. There are cheaper options available from your bank (if available). If other options aren't available, this app offers a range of services to help manage the finances of your business.",,,,,
Square POS,Play Store,Marti K.,5,"January 8, 2026",,"Quick & easy to use, mobile works just as well as desktop, reasonable cost, fast transfers, solid back end API to integrate into an e-commerce website, easy to read reports. Been using Square for a while now. I like it quite a bit.",,,8,,
Square POS,Play Store,Walton Prosen,2,"February 20, 2026",,The app quit working and customer service was outsourced. I don't speak broken English.,,,,,
Square POS,Play Store,Jack Ruth,1,"January 12, 2026",,Headaches instead of Payments! Easy to install and hardware works flawlessly but just wait till you want to withdraw your money. I was verified then told not.verified and my money will not release till verified again. I logged on to upload the required documents only to be bombarded by even more additional gestapo questioning all while holding money hostage. Stick with a company that verifies you completely before you use them so your money isn't taken hostage. I believe theyr Anti-SmallBusiness,,,5,,
Square POS,Play Store,Gil Rowland,1,"February 16, 2026",,Forced us to put transactional cost into our cost structure rather than just add a service charge. Mediocre customer service at best. Discontinued support for our hardware.,,,,,
Square POS,Play Store,Stephanie Nelson,4,"January 9, 2026",,Great for everyday use! A couple glitches in the beginning and having to restart for no reason in the middle of the day sometimes is kind of annoying. Luckily I have patient clients...,,,,,
Square POS,Play Store,Susan Kennerley,5,"December 16, 2025",,Galaxy Fold Z4 Phone. After hours of research and frustration because my phone wasn't giving me the Tap and Pay option on for some reason.... this issue is now resolved thanks to an incredibly patient and helpful Square Support person. Tap & Pay on Samsung Fold only works when your phone is CLOSED. Hopefully this is helpful.,,,3,,
Square POS,Play Store,Carlos Martinez,1,"January 13, 2026",,Deposited a check the other day and still haven't recieve funds it's ridiculous how long they make someone wait with the weekend not being business days having to wait damn near 10 days for your money is BS.. I learned my lesson and will never cash a check through Square Banking,,,5,,
Square POS,Play Store,leoman,1,"January 14, 2026",,I have had developer mode enabled on my phone for years because I'm a developer. Recently the app stopped working because I have developer mode turned on. It is not okay for you to ask me to modify my device for your app.,,,2,,
Square POS,Play Store,Steven Robertson,4,"January 16, 2026",,"Square is continuously getting better, we can do everything we need to run our business. My Square ⬛️ Dashboard... I can Manage State & Fed Tax, Employee Payroll, Quarterly Reporting, New Hire Reporting, Manage Employee's, Employee's can Clock-in & Out, Request time off, Build Retirement with matching options, Track crew locations, pre, current, & post Employee Screening, + Do Estimates, Invoicing, payments, Billpay, Tap-to-pay, Open a legitimate bank acc. Everything!🥰 My Business💰My Way",,,,,
Square POS,Play Store,Rachael Thomas,1,"December 11, 2025",,"they declared the app obsolete without warning, shutting down my income abruptly. edited to respond to response: if this outcome is one that you don't want, why have you allowed it to happen? Surely you know how many of your users you have lost income.",,,,,
Square POS,Play Store,Lakeside Snr.,5,"December 30, 2025",,"Square Point of Sale helped my small business in endless ways from ease of receiving payments through payment links, contact less, offline processing etc., writing checks, saving portions of my sales to help take care of other expenses. I have introduced Square POS to a lot of people due to my awesome experience.",,,3,,
Square POS,Play Store,Stephen Grimmer,4,"December 4, 2025",,"it's great when it works. Sometimes it's slow to connect to the reader first sale in the morning and there I stand with a customer, looking like an idiot.",,,,,
Square POS,Play Store,Raoul Lopez,2,"December 7, 2025",,"app works, support is non-existent. they had people answer the phone before. now it's just a promise to text with no follow thru. if you have any other choice use the other choice.",,,,,
Square POS,Play Store,Mark Teske,4,"January 10, 2026",,pretty easy to navigate after working in it for awhile. some great features along with a great customer service group.,,,,,
Square POS,Play Store,Tree Moonsong,3,"January 13, 2026",,despite updating my address multiple times (more than 10 moves in the last twelve years) my address remains the address I opened the account with. the app constantly times out and cancels transactions costing me money.,,,,,
Square POS,Play Store,Liam Matthews,1,"December 12, 2025",,"demands unreasonable permissions, won't let you use the app without access to phone calls, location, notification and nearby devices lucky I installed the app before buying the devices",,,,,
Square POS,Play Store,Sharon F,4,"December 19, 2025",,"The fees could be less and reflect the amount of overall sales. The overall sales are low, not increasing, but the fees have done so.",,,,,
Square POS,Play Store,Tank Brown,1,"February 18, 2026",,"horrible company. but I have collected more cash and checks than ever before! so I'm glad your interest is so high it convinced me to stop using your pos system. don't use this app. it robs you. update- your Ai apology was pathetic, and you're still trash. I found a better company that only charges 2%, and I love their communication and customer service. you've shown your customers don't matter just your mark ups..... hopefully your company goes bankrupt so you can see your greedy.",,,,,
Square POS,Play Store,Adam White,1,"October 13, 2025",,"CAN'T CHANGE THE AMOUNT for tips on the link payment method!!! There's NO WARNING that we can't change the name of business or picture logo more than 3 times, so now the business name stayed WRONG!!! When I send a link to a customer for payment, it DOESN'T alert with an email that a request was sent!! When making a refund it DOESN'T VERIFY the amount before sending it!!! When making a partial refund, it shows the ""TOTAL"" amount of the transaction as ""REFUNDED"", not as partially refunded!!!",,,252,,
Square POS,Play Store,Mark,1,"November 12, 2025",,"customer service is really bad, called a couple of times, all give you an attitude. bought the square register, less then a year replaced payment screen already, and having problems excepting payments, been over a month with no solutions. I used to recommend square, but now I would say look at other options. A business can operate without a working payment machine, we will be looking into the Clover system",,,13,,
Square POS,Play Store,David Cox,3,"September 19, 2025",,"Difficult to use. When I switch to the keypad, there is often an amount. I have to close and restart the app to get it to clear. My business is mobile. I have to charge tax based on the work location and type of job. I can find no way to accommodate this in the app. I usually end up clearing all taxes and charging the total calculated externally. I've already tried the suggestions and my app is always kept up to date.",,,29,,
